timestamp,TEROS 12 - Soil & Media Electrical Conductivity - 5 cm mS/cm,TEROS 12 - Soil & Media Electrical Conductivity - 45 cm mS/cm
"March 23, 2022",2.383,0
"March 23, 2022",2.359,0
"March 23, 2022",2.34,0
"March 23, 2022",2.316,0
"March 23, 2022",2.303,0
"March 23, 2022",2.292,0
"March 23, 2022",2.267,0
"March 24, 2022",2.257,0
"March 24, 2022",2.238,0
"March 24, 2022",2.243,0
"March 24, 2022",2.222,0
"March 24, 2022",2.229,0
"March 24, 2022",2.222,0
"March 24, 2022",2.209,0
"March 24, 2022",2.202,0
"March 24, 2022",0,2.564
"March 24, 2022",0,2.539
"March 24, 2022",0,2.536
"March 24, 2022",0,2.511
"March 24, 2022",0,2.498
"March 24, 2022",0,2.494
"March 24, 2022",0,2.487
"March 24, 2022",0,2.47
"March 24, 2022",0,2.468
"March 24, 2022",0,2.443
"March 24, 2022",0,2.404
"March 24, 2022",0,2.415
"March 24, 2022",0,2.419
"March 24, 2022",0,2.41
"March 24, 2022",0,2.405
"March 24, 2022",0,2.388
"March 24, 2022",0,2.378
"March 24, 2022",0,2.367
"March 24, 2022",0,2.39
"March 24, 2022",0,2.397
"March 24, 2022",0,2.387
"March 24, 2022",0,2.387
"March 24, 2022",0,2.39
"March 24, 2022",0,2.407
"March 24, 2022",0,2.389
"March 24, 2022",0,2.397
"March 24, 2022",0,2.384
"March 24, 2022",0,2.408
"March 25, 2022",2.873,0
"March 25, 2022",2.369,0
"March 25, 2022",2.281,0
"March 25, 2022",2.245,0
"March 25, 2022",2.219,0
"March 25, 2022",2.188,0
"March 25, 2022",2.179,0
"March 25, 2022",2.174,0
"March 25, 2022",2.155,0
"March 25, 2022",2.145,0
"March 25, 2022",2.127,0
"March 25, 2022",2.115,0
"March 25, 2022",2.124,0
"March 25, 2022",2.106,0
"March 25, 2022",2.104,0
"March 25, 2022",2.089,0
"March 25, 2022",2.096,0
"March 25, 2022",2.075,0
"March 25, 2022",2.067,0
"March 25, 2022",2.055,0
"March 27, 2022",2.58,0
"March 27, 2022",2.632,0
"March 27, 2022",2.389,0
"March 27, 2022",2.299,0
"March 27, 2022",2.246,0
"March 27, 2022",2.201,0
"March 27, 2022",2.175,1.967
"March 27, 2022",2.136,1.977
"March 27, 2022",2.108,2.003
"March 27, 2022",2.093,2.015
"March 27, 2022",2.081,2.015
"March 27, 2022",2.053,2.016
"March 27, 2022",2.038,2.013
"March 27, 2022",2.018,2.058
"March 27, 2022",1.998,2.082
"March 27, 2022",1.99,2.078
"March 27, 2022",1.979,2.074
"March 27, 2022",1.966,2.076
"March 27, 2022",1.952,2.062
"March 27, 2022",1.939,2.058
"March 27, 2022",1.92,2.055
"March 27, 2022",1.922,2.044
"March 27, 2022",1.903,2.049
"March 27, 2022",1.906,2.036
"March 27, 2022",1.892,2.018
"March 27, 2022",1.891,2.021
"March 27, 2022",1.877,2.017
"March 27, 2022",1.863,1.999
"March 27, 2022",1.849,2.004
"March 27, 2022",1.853,1.994
"March 27, 2022",1.847,1.99
"March 27, 2022",1.833,1.967
"March 27, 2022",1.832,1.902
"March 27, 2022",1.811,1.858
"March 27, 2022",1.811,1.863
"March 27, 2022",1.814,1.863
"March 27, 2022",1.802,1.879
"March 27, 2022",1.79,1.883
"March 27, 2022",1.79,1.889
"March 27, 2022",1.781,1.878
"March 27, 2022",1.775,1.902
"March 27, 2022",1.767,1.917
"March 27, 2022",1.768,1.915
"March 27, 2022",1.748,1.911
"March 27, 2022",1.746,1.906
"March 27, 2022",0,1.904
"March 27, 2022",0,1.902
"March 27, 2022",0,1.89
"March 27, 2022",0,1.909
"March 27, 2022",0,1.899
"March 27, 2022",0,1.888
"March 27, 2022",0,1.891
"March 27, 2022",0,1.891
"March 27, 2022",0,1.891
"March 27, 2022",0,1.876
"March 27, 2022",0,1.887
"March 27, 2022",0,1.891
"March 27, 2022",0,1.884
"March 27, 2022",0,1.882
"March 27, 2022",0,1.88
"March 27, 2022",0,1.878
"March 27, 2022",0,1.869
"March 27, 2022",0,1.868
"March 27, 2022",0,1.861
"March 27, 2022",0,1.853
"March 27, 2022",0,1.856
"March 27, 2022",0,1.851
"March 27, 2022",0,1.845
"March 27, 2022",0,1.829
"March 27, 2022",0,1.826
"March 27, 2022",0,1.829
"March 27, 2022",0,1.832
"March 27, 2022",0,1.827
"March 27, 2022",0,1.826
"March 27, 2022",0,1.827
"March 27, 2022",0,1.813
"March 27, 2022",0,1.816
"March 27, 2022",0,1.813
"March 27, 2022",0,1.817
"March 27, 2022",0,1.811
"March 27, 2022",0,1.805
"March 27, 2022",0,1.804
"March 27, 2022",0,1.799
"March 27, 2022",0,1.79
"March 27, 2022",0,1.745
"March 27, 2022",0,1.683
"March 27, 2022",0,1.681
"March 27, 2022",0,1.679
"March 28, 2022",0,1.673
"March 28, 2022",0,1.684
"March 28, 2022",0,1.676
"March 28, 2022",0,1.669
"April 2, 2022",2.956,0
"April 2, 2022",2.698,0
"April 2, 2022",2.61,0
"April 2, 2022",2.563,0
"April 2, 2022",2.514,0
"April 2, 2022",2.476,0
"April 2, 2022",2.436,0
"April 2, 2022",2.421,0
"April 2, 2022",2.399,0
"April 2, 2022",2.381,0
"April 2, 2022",2.368,0
"April 2, 2022",2.363,0
"April 2, 2022",2.364,0
"April 2, 2022",2.343,0
"April 2, 2022",2.332,0
"April 2, 2022",2.348,0
"April 2, 2022",2.366,0
"April 2, 2022",2.343,0
"April 2, 2022",2.341,0
"April 2, 2022",2.336,0
"April 2, 2022",2.34,0
"April 2, 2022",2.333,0
"April 2, 2022",2.318,0
"April 2, 2022",2.3,0
"April 2, 2022",2.296,0
"April 2, 2022",2.281,0
"April 2, 2022",2.28,0
"April 2, 2022",2.277,0
"April 2, 2022",2.25,0
"April 2, 2022",2.241,0
"April 2, 2022",2.228,0
"April 2, 2022",2.216,0
"April 2, 2022",2.199,0
"April 2, 2022",2.19,0
"April 2, 2022",2.156,0
"April 2, 2022",2.164,0
"April 2, 2022",2.142,0
"April 2, 2022",2.145,0
"April 2, 2022",2.124,0
"April 4, 2022",2.972,0
"April 4, 2022",2.691,0
"April 4, 2022",2.588,0
"April 4, 2022",2.543,0
"April 4, 2022",2.49,0
"April 4, 2022",2.466,0
"April 4, 2022",2.443,0
"April 4, 2022",2.411,0
"April 4, 2022",2.385,0
"April 4, 2022",2.363,0
"April 4, 2022",2.353,0
"April 4, 2022",2.34,0
"April 4, 2022",2.331,0
"April 4, 2022",2.328,0
"April 4, 2022",2.301,0
"April 4, 2022",2.303,0
"April 4, 2022",2.298,0
"April 4, 2022",2.292,0
"April 4, 2022",2.285,0
"April 4, 2022",2.275,0
"April 4, 2022",2.284,0
"April 4, 2022",2.277,0
"April 4, 2022",2.276,0
"April 4, 2022",2.28,0
"April 4, 2022",2.29,0
"April 4, 2022",2.279,0
"April 4, 2022",2.293,0
"April 4, 2022",2.282,0
"April 5, 2022",2.292,0
"April 5, 2022",2.3,0
"April 5, 2022",2.302,0
"April 5, 2022",2.286,0
"April 5, 2022",2.284,0
"April 5, 2022",2.278,0
"April 5, 2022",2.275,0
"April 5, 2022",2.254,0
"April 5, 2022",2.253,0
"April 5, 2022",2.239,0
"April 5, 2022",2.227,0
"April 5, 2022",2.225,0
"April 5, 2022",2.219,0
"April 5, 2022",2.206,0
"April 5, 2022",2.204,0
"April 5, 2022",2.186,0
"April 5, 2022",2.183,0
"April 5, 2022",2.168,0
"April 5, 2022",2.166,0
"April 5, 2022",2.148,0
"April 5, 2022",2.126,0
"April 5, 2022",2.113,0
"April 5, 2022",2.11,0
"April 5, 2022",2.085,0
"April 5, 2022",2.097,0
"April 5, 2022",2.071,0
"April 5, 2022",2.072,0
"April 5, 2022",2.066,0
"April 5, 2022",2.044,0
"April 5, 2022",2.038,0
"April 5, 2022",2.033,0
"April 5, 2022",2.02,0
"April 5, 2022",2.017,0
"April 5, 2022",2.003,0
"April 6, 2022",3.196,0
"April 6, 2022",2.99,0
"April 6, 2022",2.804,0
"April 6, 2022",2.748,0
"April 6, 2022",2.708,0
"April 6, 2022",2.66,0
"April 6, 2022",2.634,0
"April 6, 2022",2.611,1.982
"April 6, 2022",2.584,2.042
"April 6, 2022",2.556,2.038
"April 6, 2022",2.558,2.039
"April 6, 2022",2.534,2.031
"April 6, 2022",2.534,2.047
"April 6, 2022",2.529,2.039
"April 6, 2022",2.502,2.032
"April 6, 2022",2.502,2.013
"April 6, 2022",2.502,2.018
"April 6, 2022",2.48,2.005
"April 6, 2022",2.463,1.988
"April 6, 2022",2.471,1.98
"April 6, 2022",2.456,1.987
"April 6, 2022",2.434,1.98
"April 6, 2022",2.425,1.969
"April 6, 2022",2.428,1.958
"April 6, 2022",2.414,1.966
"April 6, 2022",2.411,1.95
"April 6, 2022",2.398,1.935
"April 6, 2022",2.383,1.932
"April 6, 2022",2.376,1.936
"April 6, 2022",2.375,1.932
"April 6, 2022",2.348,1.919
"April 6, 2022",2.343,1.909
"April 6, 2022",2.338,1.907
"April 6, 2022",2.325,1.901
"April 6, 2022",2.317,1.904
"April 6, 2022",2.312,1.885
"April 6, 2022",2.301,1.883
"April 6, 2022",2.291,1.88
"April 6, 2022",2.269,1.896
"April 6, 2022",0,1.876
"April 6, 2022",0,1.865
"April 6, 2022",0,1.872
"April 6, 2022",0,1.875
"April 6, 2022",0,1.872
"April 6, 2022",0,1.865
"April 6, 2022",0,1.855
"April 6, 2022",0,1.853
"April 6, 2022",0,1.859
"April 6, 2022",0,1.848
"April 6, 2022",0,1.845
"April 6, 2022",0,1.838
"April 6, 2022",0,1.835
"April 6, 2022",0,1.815
"April 6, 2022",0,1.83
"April 6, 2022",0,1.819
"April 6, 2022",0,1.821
"April 6, 2022",0,1.812
"April 6, 2022",0,1.807
"April 6, 2022",0,1.796
"April 6, 2022",0,1.802
"April 6, 2022",0,1.801
"April 7, 2022",3.02,0
"April 7, 2022",2.757,0
"April 7, 2022",2.674,0
"April 7, 2022",2.626,0
"April 7, 2022",2.587,0
"April 7, 2022",2.534,0
"April 7, 2022",2.5,0
"April 7, 2022",2.465,0
"April 7, 2022",2.429,1.82
"April 8, 2022",2.405,1.832
"April 8, 2022",2.38,1.851
"April 8, 2022",2.355,1.855
"April 8, 2022",2.357,1.848
"April 8, 2022",2.341,1.847
"April 8, 2022",2.326,1.848
"April 8, 2022",2.32,1.841
"April 8, 2022",2.299,1.83
"April 8, 2022",2.293,1.817
"April 8, 2022",2.283,1.807
"April 8, 2022",2.287,1.798
"April 8, 2022",2.281,1.805
"April 8, 2022",2.265,1.8
"April 8, 2022",2.275,1.787
"April 8, 2022",2.274,1.778
"April 8, 2022",2.285,1.77
